omega,RAO_heave,RAO_pitch
0.2,0.0001379256433682874,0.005867224178968273
0.2070175438596491,0.0001704682025776156,0.006663421146507803
0.2140350877192982,0.0002101513827373787,0.007554250142776278
0.2210526315789474,0.0002584113757645704,0.008548993335454606
0.2280701754385965,0.0003169432529236886,0.009657575542324255
0.2350877192982456,0.0003877411554182771,0.01089057393262195
0.2421052631578947,0.000473143410115875,0.0122592228483845
0.2491228070175439,0.0005758829194284887,0.01377541305909575
0.256140350877193,0.0006991431485333588,0.01545168474800832
0.2631578947368421,0.0008466199942304507,0.01730121352222322
0.2701754385964912,0.001022589765890655,0.0193377887421687
0.2771929824561403,0.001231983438251791,0.02157578348069397
0.2842105263157895,0.001480467246429723,0.0240301154486873
0.2912280701754386,0.001774529583722216,0.02671619826394851
0.2982456140350877,0.002121574031100129,0.02964988249388414
0.3052631578947368,0.002530018192512337,0.03284738597117143
0.3122807017543859,0.003009397831488823,0.03632521296539265
0.3192982456140351,0.003570475601728518,0.0401000618930881
0.3263157894736842,0.004225353437740979,0.04418872136376389
0.3333333333333334,0.004987587422238375,0.04860795448989495
0.3403508771929825,0.005872303676748651,0.05337437153433944
0.3473684210526315,0.006896313533681961,0.05850429112795164
0.3543859649122807,0.008078225945699659,0.06401359046232095
0.3614035087719298,0.009438554776675509,0.06991754504588575
0.3684210526315789,0.0109998183039183,0.07623065880421394
0.3754385964912281,0.01278662795092721,0.08296648550469436
0.3824561403508772,0.01482576297220743,0.09013744268957273
0.3894736842105263,0.01714622753611326,0.09775461950619707
0.3964912280701754,0.01977928640882301,0.1058275800262125
0.4035087719298245,0.02275847524374053,0.1143641638427128
0.4105263157894737,0.02611958133784703,0.1233702859222428
0.4175438596491228,0.02990059064214858,0.1328497378631405
0.4245614035087719,0.03414159681979684,0.1428039928690077
0.4315789473684211,0.03888466824480472,0.1532320168820769
0.4385964912280702,0.04417366903793094,0.1641300884319726
0.4456140350877193,0.05005403055448599,0.1754916298370341
0.4526315789473684,0.05657247018010308,0.1873070524444344
0.4596491228070175,0.06377665486137055,0.1995636186085842
0.4666666666666667,0.07171480750245787,0.2122453230819313
0.4736842105263158,0.08043525519721684,0.225332796425997
0.4807017543859649,0.0899859192358885,0.2388032329416079
0.487719298245614,0.1004137479197659,0.2526303454647586
0.4947368421052631,0.1117640944250158,0.2667843491780892
0.5017543859649123,0.1240800432629545,0.2812319763480238
0.5087719298245614,0.1374016902685463,0.2959365236155336
0.5157894736842106,0.1517653824873663,0.3108579331463689
0.5228070175438596,0.1672029257951526,0.3259529085874671
0.5298245614035088,0.1837407695408191,0.3411750663839213
0.5368421052631578,0.2013991789174989,0.3564751225900216
0.5438596491228069,0.2201914070982527,0.3718011148638946
0.5508771929824561,0.2401228803830169,0.3870986588742207
0.5578947368421052,0.2611904106499283,0.4023112378761651
0.5649122807017544,0.2833814502463027,0.4173805237391614
0.5719298245614035,0.3066734050527683,0.432246727239162
0.5789473684210527,0.3310330217716837,0.4468489749702225
0.5859649122807018,0.356415865495423,0.461125709792756
0.5929824561403508,0.3827659032743274,0.4750151113263339
0.6,0.4100152087077059,0.4884555326212172
0.607017543859649,0.4380838015117128,0.5013859488121236
0.6140350877192982,0.4668796345716422,0.5137464132768839
0.6210526315789473,0.4962987391691238,0.5254785165976499
0.6280701754385964,0.5262255369032186,0.5365258434584997
0.6350877192982456,0.5565333243251565,0.5468344225149118
0.6421052631578947,0.5870849335166594,0.5563531642409499
0.6491228070175439,0.6177335688087021,0.5650342818011884
0.656140350877193,0.6483238166177413,0.572833690107316
0.6631578947368421,0.6786928220348417,0.5797113784036161
0.6701754385964912,0.7086716224115166,0.5856317519794597
0.6771929824561402,0.7380866248215429,0.5905639389276476
0.6842105263157894,0.7667612110208942,0.5944820582507465
0.6912280701754385,0.794517450459731,0.5973654460581126
0.6982456140350877,0.821177899101594,0.5991988370877067
0.7052631578947368,0.8465674593524719,0.5999724993216646
0.712280701754386,0.8705152743674628,0.5996823200346725
0.7192982456140351,0.8928566284484051,0.59832984221063
0.7263157894736842,0.9134348242250686,0.5959222508764284
0.7333333333333334,0.9321030068661778,0.5924723095222025
0.7403508771929823,0.9487259057220283,0.5879982473952486
