J,etaD
0.2,0.01245463444433924
0.2285714285714286,0.01714933710969897
0.2571428571428572,0.02330105089808593
0.2857142857142857,0.03124032175869404
0.3142857142857143,0.04133018093871686
0.3428571428571429,0.0539549051705876
0.3714285714285714,0.06950345266641299
0.4,0.08834737364744044
0.4285714285714286,0.1108135138684031
0.4571428571428572,0.1371524683491182
0.4857142857142858,0.1675044496585101
0.5142857142857143,0.2018649354383812
0.5428571428571429,0.2400530591050032
0.5714285714285714,0.2816861025969475
0.6000000000000001,0.3261635428044303
0.6285714285714286,0.3726638181955937
0.6571428571428573,0.4201562821238184
0.6857142857142857,0.4674297093501196
0.7142857142857144,0.513137296432539
0.7428571428571429,0.555856476026318
0.7714285714285716,0.5941602266016
0.8,0.626695104162453
0.8285714285714287,0.6522601499805836
0.8571428571428572,0.6698803039251562
0.8857142857142857,0.6788680818262929
0.9142857142857144,0.6788680818262929
0.9428571428571428,0.6698803039251562
0.9714285714285715,0.6522601499805833
1.0,0.626695104162453
1.028571428571429,0.5941602266015997
1.057142857142857,0.555856476026318
1.085714285714286,0.5131372964325387
1.114285714285714,0.4674297093501196
1.142857142857143,0.420156282123818
1.171428571428571,0.3726638181955937
1.2,0.3261635428044303
1.228571428571429,0.2816861025969475
1.257142857142857,0.2400530591050032
1.285714285714286,0.2018649354383809
1.314285714285714,0.1675044496585101
1.342857142857143,0.1371524683491181
1.371428571428571,0.1108135138684031
1.4,0.08834737364744033
1.428571428571429,0.06950345266641299
1.457142857142857,0.05395490517058756
1.485714285714286,0.04133018093871686
1.514285714285714,0.03124032175869398
1.542857142857143,0.0233010508980859
1.571428571428571,0.01714933710969899
1.6,0.01245463444433922
