"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Parent issue","Due Date"
"NAV-EPIC-1","NavArch Dev","[EPIC] Phase 1: Hydrostatics MVP (Sprint 1-4)","Complete hydrostatics module with geometry input, computation engine, visualization, and reporting. Target: 8 weeks, 4 sprints.

**Deliverables:**
- Vessel geometry CRUD (CSV import, offsets grid)
- Core hydrostatic calculations (Δ, KB, LCB, GM, coefficients)
- Curves generation (displacement, KB, Bonjean)
- 3D visualization
- PDF/Excel reports
- Validated against rectangular barge (<0.5%) and Wigley hull (<2%)

**Success Metrics:**
- All 12 user stories completed
- Barge tests pass <0.5% error
- Wigley tests pass <2% error
- Compute 40k offsets in <5s
- >80% code coverage","Backlog",40,"Urgent",,,"abhee15@gmail.com",,"Phase 1, MVP, Hydrostatics",""
"NAV-100","NavArch Dev","[Sprint 1] Foundation & Geometry - Week 1-2","**Goals:**
- Database schema & migrations
- Geometry services with validation
- CSV import with error reporting
- Core integration engine
- Frontend: Vessel list, offsets grid

**Acceptance:**
- DB migration applied successfully
- CSV templates downloadable
- Barge geometry imports without errors
- Simpson's Rule passes unit tests","Backlog",34,"Urgent",,,"abhee15@gmail.com",,"Sprint 1, Phase 1","NAV-EPIC-1"
"NAV-101","NavArch Dev","Create database migration for hydrostatics schema","**As a developer**, I need a complete database schema so that I can store vessel geometry and hydrostatic results.

**Tasks:**
- Add Vessel, Station, Waterline, Offset, Loadcase entities
- Add HydroResult, Curve, CurvePoint tables
- Create indexes per phase1 plan (Section 6)
- Add foreign key constraints with CASCADE
- Add soft delete support for Vessels

**Acceptance Criteria:**
- Migration runs without errors
- All 9 tables created in 'data' schema
- Unique constraints on (vessel_id, station_index) and (vessel_id, waterline_index)
- Foreign keys enforce referential integrity
- Can insert sample barge data

**Technical Notes:**
- Use EF Core migrations
- Precision: decimal(10,3) for dimensions, decimal(15,4) for volumes
- JSONB meta columns for extensibility","Backlog",3,"Urgent",,,"abhee15@gmail.com",,"Backend, Database, .NET","NAV-100"
"NAV-102","NavArch Dev","Create IGeometryService interface","**As a developer**, I need a service contract for geometry operations so that I can implement validation and storage logic.

**Interface Methods:**
```csharp
Task<Vessel> CreateVessel(VesselDto dto, CancellationToken ct);
Task<ValidationResult> ValidateOffsets(List<OffsetDto> offsets);
Task<List<Station>> ImportStations(Guid vesselId, List<StationDto> stations, CancellationToken ct);
Task<List<Waterline>> ImportWaterlines(Guid vesselId, List<WaterlineDto> waterlines, CancellationToken ct);
Task<List<Offset>> ImportOffsets(Guid vesselId, List<OffsetDto> offsets, CancellationToken ct);
Task<OffsetsGridDto> GetOffsetsGrid(Guid vesselId, CancellationToken ct);
```

**Acceptance Criteria:**
- Interface defined in Shared/Services
- All methods have proper XML documentation
- Uses CancellationToken for all async operations
- Returns strongly-typed DTOs","Backlog",1,"Urgent",,,"abhee15@gmail.com",,"Backend, .NET, Architecture","NAV-100"
"NAV-103","NavArch Dev","Implement GeometryService with validation","**As a naval architect**, I need geometry validation so that my calculations are trustworthy.

**Validation Rules:**
1. **Monotonic stations**: X values strictly increasing
2. **Monotonic waterlines**: Z values strictly increasing
3. **Non-negative breadths**: All half_breadth_y >= 0
4. **Complete grid**: No missing offsets in (station, waterline) pairs
5. **Unit consistency**: Dimensions in reasonable ranges (Lpp: 1-500m)

**Acceptance Criteria:**
- Validates all 5 rules
- Returns specific error messages with row/column numbers
- Non-monotonic X at row 15 → ""Station X at row 15 (12.5m) < previous (15.0m)""
- Blocks save if validation fails
- Unit tests for each validation rule

**Edge Cases:**
- Single station (valid)
- Duplicate X or Z values (invalid)
- Negative breadths (invalid)","Backlog",5,"Urgent",,,"abhee15@gmail.com",,"Backend, .NET, Validation","NAV-100"
"NAV-104","NavArch Dev","Create CSV parser for offsets import","**As a user**, I can upload CSV/Excel offsets so that I can import geometry from other tools.

**Supported Formats:**
1. **Flat format**: station_index, station_x, waterline_index, waterline_z, half_breadth_y
2. **Separate files**: stations.csv + waterlines.csv + offsets.csv

**Features:**
- Auto-detect format
- Unit inference (m/ft based on values)
- Preview first 10 rows before import
- Detailed error messages (row, column, value)

**Acceptance Criteria:**
- Parses both formats correctly
- Sample CSV with 231 offsets imports in <2s
- Validation errors show exact location
- Handles UTF-8, UTF-8 BOM, Windows-1252 encoding
- Unit tests with malformed CSVs

**Deliverables:**
- CSV template files for both formats","Backlog",5,"Urgent",,,"abhee15@gmail.com",,"Backend, .NET, Parsing","NAV-100"
"NAV-105","NavArch Dev","Create VesselsController with CRUD endpoints","**As a developer**, I need REST endpoints for vessel management.

**Endpoints:**
- POST /api/v1/hydrostatics/vessels
- GET /api/v1/hydrostatics/vessels (list with pagination)
- GET /api/v1/hydrostatics/vessels/{id}
- PUT /api/v1/hydrostatics/vessels/{id}
- DELETE /api/v1/hydrostatics/vessels/{id} (soft delete)

**Acceptance Criteria:**
- All endpoints documented in Swagger
- Returns proper HTTP status codes (201, 200, 404, 400)
- Validates input DTOs with FluentValidation
- Includes correlation IDs in response headers
- Error responses follow consistent format
- Unit tests for each endpoint
- Integration tests with test database

**Request/Response:**
See Phase 1 plan Section 8 for detailed schemas","Backlog",3,"Urgent",,,"abhee15@gmail.com",,"Backend, .NET, API","NAV-100"
"NAV-106","NavArch Dev","Create GeometryController for bulk imports","**As a user**, I can bulk import stations, waterlines, and offsets via API.

**Endpoints:**
- POST /api/v1/hydrostatics/vessels/{id}/stations
- POST /api/v1/hydrostatics/vessels/{id}/waterlines
- POST /api/v1/hydrostatics/vessels/{id}/offsets:bulk
- POST /api/v1/hydrostatics/vessels/{id}/offsets:upload (CSV file)
- GET /api/v1/hydrostatics/vessels/{id}/offsets (get grid)

**Acceptance Criteria:**
- Bulk insert uses EF Core batching
- 231 offsets import in <1s
- Transaction rollback on validation errors
- CSV upload handles multipart/form-data
- Returns import summary (imported count, errors)
- Swagger documentation with examples
- Integration tests with 1000+ offsets","Backlog",3,"Urgent",,,"abhee15@gmail.com",,"Backend, .NET, API","NAV-100"
"NAV-107","NavArch Dev","Create IntegrationEngine utility class","**As a developer**, I need numerical integration methods so that I can compute volumes and moments.

**Methods:**
```csharp
decimal SimpsonsRule(decimal[] y, decimal dx);
decimal CompositeSimpson(decimal[] y, decimal[] x); // irregular spacing
decimal TrapezoidalRule(decimal[] y, decimal dx);
decimal IntegrateIrregular(decimal[] y, decimal[] x); // auto-select method
```

**Acceptance Criteria:**
- Simpson's Rule: exact for cubics
- Handles even and odd number of points
- Falls back to trapezoidal for irregular spacing
- Unit tests with analytical functions (x², x³, sin(x))
- Validates against rectangular barge (error <0.1%)
- Performance: 10,000 points in <10ms
- Well-documented with references (e.g., Chapra & Canale)

**Test Cases:**
- f(x) = x² from 0 to 10 → 333.333...
- f(x) = sin(x) from 0 to π → 2.0","Backlog",3,"Urgent",,,"abhee15@gmail.com",,"Backend, .NET, Algorithm","NAV-100"
"NAV-108","NavArch Dev","Write unit tests for integration methods","**As a QA engineer**, I need validated integration tests so that results are trustworthy.

**Test Suite:**
1. **Analytical functions**: x², x³, sin(x), cos(x)
2. **Rectangular barge**: Volume = L × B × T (exact)
3. **Edge cases**: Single point, two points, empty array
4. **Performance**: 10k points benchmark

**Rectangular Barge Test:**
- L=100m, B=20m, T=5m
- Volume = 10,000 m³ (analytical)
- Simpson's result within 0.1%
- KB = 2.5m (exact)
- BM_t = 6.667m (analytical)

**Acceptance Criteria:**
- All tests pass with >99.5% accuracy for barge
- Test execution time <5s
- 100% code coverage of IntegrationEngine
- Tests use FluentAssertions for readability
- Documented expected values with sources","Backlog",2,"Urgent",,,"abhee15@gmail.com",,"Testing, .NET, Backend","NAV-100"
