Ixx/LOA^4 @ T/Dd = 0.12,Ixx/LOA^4 @ T/Dd = 0.25,Ixx/LOA^4 @ T/Dd = 0.33,Ixx/LOA^4 @ T/Dd = 0.38,Ixx/LOA^4 @ T/Dd = 0.5,Ixx/LOA^4 @ T/Dd = 0.62,Ixx/LOA^4 @ T/Dd = 0.67,Ixx/LOA^4 @ T/Dd = 0.75,Ixx/LOA^4 @ T/Dd = 0.88,Ixx/LOA^4 @ T/Dd = 1.0
3.3329102336828945e-06,1.2195623760699394e-05,8.488480105872759e-05,0.00040451208130310584,0.0008935131994259381,0.0010488844295847947,0.0010564748845537557,0.0010018861035993307,0.0007342890440564629,0.0004606921114669028
1.1062344873578469e-07,2.9579763902363884e-07,5.40111884171399e-07,8.100380453834916e-07,2.36043084198559e-06,7.5409302591949834e-06,1.1390132320796299e-05,2.1351047230424774e-05,5.1000800405060074e-05,0.00010299978757089703
6.51141970841874e-05,0.000502212573453116,0.0006859356134303172,0.000776190508469598,0.000927365489395176,0.0010131916610521471,0.0009955163273461666,0.0009315978046071084,0.0007560608941649025,0.0006049388679219777
1.951960585544448e-06,1.2070999574981276e-06,1.9811671913426798e-06,4.704788222328583e-06,2.4845749503817165e-05,7.01534159270228e-05,7.806326521137119e-05,9.140175526543478e-05,0.0001234331666157927,0.00018603874695769337
1.1626051961498421e-05,6.560390741458693e-05,0.00013791137714908025,0.00019416155283286267,0.0003017646761400139,0.0003974106356806622,0.0004427593756270395,0.000522739338818591,0.0006737439276913223,0.0008489703603421929
8.768122226463765e-07,4.01126830827116e-06,7.83835543417906e-06,1.09066781847584e-05,2.6453382749750882e-05,5.622611711016625e-05,7.420020165615864e-05,0.00011328608043855495,0.0002163162515313216,0.00036260333457933426
4.6640362236004417e-07,4.46058785236456e-07,5.416034585757792e-07,7.149133511210389e-07,2.4851141966801873e-06,1.0172458512963205e-05,1.6187392163090436e-05,3.031052565604702e-05,6.686725522658052e-05,0.0001183869016814122
2.3814813237981455e-07,3.1352813935200626e-06,8.513292359380921e-06,1.3989205659452744e-05,3.265343762047906e-05,6.394088157113971e-05,7.972308400295609e-05,0.00011017499720360353,0.00017586426113472736,0.0002587365888882332
5.779668713369602e-07,7.824035531259018e-05,0.00034798100850759364,0.0006515519946969728,0.0010080048877437707,0.0011341222927033251,0.0011954253184610418,0.0012905400143456743,0.001438056960501801,0.0015746410322444522
0.00010568816481883865,0.0006691345601729994,0.0008643327811687614,0.0009743379154230446,0.000998650383675463,0.0009391388521871475,0.0009125388386919117,0.000864122687957613,0.0007844310634683121,0.0007114063724194231
2.1691735930988888e-05,7.946969318033855e-05,0.0001177094922407151,0.00013986039747563423,0.00018810341833964384,0.0002251697299963261,0.00023584856997894442,0.00024880775691341755,0.0002699841396137991,0.00027625828033232374
1.2876812758818435e-05,5.782674339767007e-05,0.0001164530599840514,0.00016377551009545268,0.000284085906960925,0.00035142540870792025,0.00035706278635288163,0.0003453539310812173,0.0002846208047748549,0.00020138112776743405
2.1579279713858802e-07,1.287076608080819e-06,5.263711916243196e-06,1.2479625284701055e-05,5.403018587454017e-05,0.00011594608694352286,0.00013930683590937604,0.00016244413262952225,0.00019416586950140598,0.00022369790614177468
0.000327502104295221,0.0005450073861640411,0.0005676053832719294,0.0005711005138605584,0.0005847502684772624,0.0006094695568326994,0.0006089723499913429,0.0006028945274342573,0.0005891855263663649,0.0005712790085721626
5.404860686788702e-07,3.815610136160863e-06,9.23777152048404e-06,1.4564429505243694e-05,3.633240121754737e-05,7.218650618848676e-05,8.316088183408732e-05,9.693703299345347e-05,0.00011123404632892453,0.00011616934654471193
2.0669495594044984e-06,8.619860900749386e-06,1.731596248844836e-05,2.512639070707871e-05,4.03139988191364e-05,5.8189881238151355e-05,6.589623469543745e-05,7.793186768775212e-05,0.0001012489327317577,0.00012878448288219734
1.6348410664244497e-07,5.898157554674038e-07,8.7101992871178e-07,1.1089362558253284e-06,2.086566357192194e-06,4.6756336878798035e-06,6.67504980804033e-06,1.2414281358430354e-05,2.8734490903702497e-05,7.176897877055349e-05
2.001114830912862e-08,6.324408137938265e-07,1.0128615192311764e-05,2.7005713676393e-05,6.886211474526923e-05,0.00011550068388041004,0.00014041109452413213,0.00020458514085633817,0.00033949616389545667,0.00047426517459132553
8.936828514329308e-07,5.926513532606867e-06,9.87777982458262e-06,1.1931602749476525e-05,1.5801079677282943e-05,2.0352322321646086e-05,2.2750450808122786e-05,2.73576871326826e-05,4.3912360604848156e-05,5.62134859624448e-05
5.414985922908578e-08,8.235895674616736e-06,4.573995013395843e-05,8.377429870529561e-05,0.0001723459602406982,0.0002612528790090352,0.0002833780150568169,0.0003168858532521215,0.00033761649803268795,0.00029784476933831643
2.292788931078875e-07,9.063057264563537e-06,3.070040204006939e-05,5.470979178991921e-05,0.00012646416280975416,0.0001897035975989514,0.00021083858419509264,0.0002421247967462957,0.00027350104796348946,0.0002801086832697483
7.616465493816412e-06,6.569376386106367e-05,0.00010997763840522569,0.0001341315105260283,0.0001804019212503201,0.00022464607056930174,0.00024454536730942673,0.0002780519742267363,0.00037063325689803647,0.000453691742979815
1.1548664950211619e-07,4.265657013200871e-07,1.306367451225111e-06,2.3847746730795236e-06,7.7016894987022e-06,1.723364269978981e-05,2.3293308343910553e-05,3.829092467283696e-05,8.007459677401289e-05,0.00017199137294581965
1.0202854594085484e-08,7.136681538633424e-08,4.001558907659326e-07,1.164506723549902e-06,7.362683873223418e-06,2.403773832686078e-05,3.398264170951516e-05,4.7578760006269456e-05,7.403103231319766e-05,0.00010311574183678798
5.662819126818839e-05,0.00032947418557386873,0.0004886890230249864,0.0005712422256991297,0.000756381004649918,0.0007571014234221044,0.0006793156056426379,0.0005380510489572394,0.00036808584005701677,0.0002890493312033261
3.7941728221033206e-06,2.3296547302145456e-05,4.942259171069083e-05,7.316878702510275e-05,0.00015021479727391008,0.00020222741189937366,0.00021911671480263358,0.00024375187815828766,0.00028885453285175833,0.00033706112913843073
2.868827782087501e-05,0.00012311631264277966,0.00018946903919692226,0.0002442016690772131,0.00034677913686008134,0.00041590662224533307,0.00043034322395881197,0.00044118648597111766,0.0004306997420922796,0.0003987472084731605
1.7894634083210763e-06,7.026963232771038e-06,2.0461960952107353e-05,3.5585266986027076e-05,6.825222549526503e-05,0.00011092728216683221,0.00013169079957832554,0.00017001196192416665,0.0002447449402016129,0.00032418930357045334
4.0742392640186486e-07,1.3617981852931162e-07,1.410249431764779e-07,2.2157623879982967e-07,1.0333123798656052e-06,4.923155991381599e-06,9.508026988047388e-06,3.468038646876967e-05,0.0001696697818752012,0.0003768380592013301
5.934120746737524e-08,1.9635404392543477e-06,9.679891905427232e-06,1.9432851319843335e-05,6.592720786308461e-05,0.00014016595913493604,0.00015694801390346834,0.00016593796300075957,0.00014192694793461295,0.000130787628109255
2.317714645280413e-07,2.445629413591043e-06,6.6056383711531566e-06,1.0793388662594389e-05,1.9714177046630308e-05,3.0066946679104695e-05,3.4729404991394694e-05,4.37514536466598e-05,6.768249784341517e-05,0.0001380027742785761
3.1686125916386917e-07,6.6664043371303315e-06,2.4756056214089662e-05,4.594506084172403e-05,0.00014112798379938983,0.0002807629330915337,0.0003371901122964122,0.00043695379420337864,0.0006118149542711399,0.0007995116850518918
1.9420847677162398e-07,1.6415740151078565e-06,7.0010266774570815e-06,1.3897083776546251e-05,4.779721969681511e-05,0.00012058679561993384,0.00016420715697322485,0.00024509963735967923,0.00033929780323943234,0.0004326383784559126
2.5177656761969526e-09,7.314659615209628e-08,4.7056767159803e-07,1.3713229605509297e-06,1.2723845751137833e-05,4.9619611545224854e-05,6.400728302959622e-05,8.463278450092279e-05,9.571087073992994e-05,0.00014025794739896792
4.6646734645773116e-05,0.00014150607924928686,0.00017296563565718473,0.00017522116819070345,0.00022950406463670075,0.0002941282082002442,0.0003122191355268749,0.0003420746241413525,0.00040130137816237984,0.00046731692956486384
1.921458627448247e-06,3.824956314193713e-06,9.059403542197926e-06,1.5214744336474298e-05,4.3719639493559546e-05,9.999240655570863e-05,0.00012540499661284316,0.00018949821461142663,0.0003654893752639084,0.0005769295553097728
1.2660841512051413e-06,7.0152437372865656e-06,1.45809949871013e-05,2.1472755684085678e-05,4.431795898951056e-05,6.883824385826012e-05,7.565209685209671e-05,8.828295310232048e-05,9.837865420285415e-05,0.0001077443306944494
1.8246799086380132e-07,9.9165417284309e-07,3.2906086916380133e-06,7.245713082681531e-06,5.5228406662815266e-05,0.0002621842795034615,0.0003523457399851516,0.0004394360728633081,0.00042944076799810815,0.0003315900710178233
1.2144697558163483e-05,7.72630217886778e-05,0.00013447044413102946,0.00016768055413432083,0.00023201850142527865,0.0003372772097731286,0.0003520503388733527,0.0003590074155675889,0.00036462788975327514,0.0003685317708973731
1.6877738271150586e-07,3.352628111827129e-07,1.3399495808202501e-06,3.3992428187961907e-06,9.34598542354227e-06,1.3571928266544166e-05,1.4640025361031924e-05,1.4938832593282264e-05,1.1927222466014189e-05,2.0071439064154637e-05
6.444827761215586e-05,0.000326969791601066,0.0006502384047517271,0.0008075319725126477,0.0009150566969996243,0.0008037310789256926,0.0007196804553839578,0.0005995698045139974,0.00043762095239654997,0.0003191915396226918
1.381725619663335e-06,1.7060800267900517e-05,3.7134615500769845e-05,4.7583761145622836e-05,7.921552981932583e-05,0.00010181207660696767,0.00011240269875911308,0.00013175341514243497,0.0001701930734888532,0.00021424956650619467
5.755524429466858e-05,0.000361239055791619,0.0005199976371976276,0.0005961332156863315,0.0007016102625042498,0.0007965542237196345,0.0008284516089523839,0.0008662414309666468,0.0009030196168673455,0.0009228119844020157
0.0004852375230763527,0.0009358744886052246,0.0010569622277190828,0.0010868589236675298,0.001009189522394284,0.0007371216602627895,0.0006685108027022771,0.0005695011266718997,0.00041070397389089203,0.0002964705144623668
9.564247695840555e-07,5.543896894279214e-06,1.2112049853895779e-05,1.8323168381039974e-05,3.578811407890776e-05,4.895467374276054e-05,5.4627934717599156e-05,6.574165220719902e-05,8.992869519129809e-05,0.00013268888325033556
2.07622550364614e-07,2.428178032223492e-07,7.279669221382161e-07,1.6609110909879414e-06,7.266368472452017e-06,2.075629338316555e-05,2.770764628926486e-05,4.8380721042090456e-05,9.730500429594407e-05,0.00016622390910546534
