WL/LOA @ T/Dd = 0.12,WL/LOA @ T/Dd = 0.25,WL/LOA @ T/Dd = 0.33,WL/LOA @ T/Dd = 0.38,WL/LOA @ T/Dd = 0.5,WL/LOA @ T/Dd = 0.62,WL/LOA @ T/Dd = 0.67,WL/LOA @ T/Dd = 0.75,WL/LOA @ T/Dd = 0.88,WL/LOA @ T/Dd = 1.0
0.8388165257342004,0.8972270642579125,0.9255431576897053,0.9415103522922971,0.9732384822407614,0.9856989884679838,0.9900832309776062,0.9961452700695371,0.9794289981723721,0.9554018892317483
0.837944763204067,0.8925282781663434,0.918989459781689,0.9339107413089007,0.9613720366133964,0.9783925977669318,0.9848110622152392,0.9927631389109495,0.9886138023908535,0.9834913201259636
0.8808233554395498,0.929882339337856,0.9536650322167273,0.9670758854714562,0.9951090718540423,0.9840420281300147,0.9716672914440372,0.9497282031779551,0.908460972128214,0.8641964812500372
0.7610417173979209,0.8034933164417067,0.8240731549477278,0.8356779881695949,0.8607383275234269,0.8616518675450108,0.8615620533867135,0.8679155529337098,0.8952951454732924,0.9393105449336909
0.9085446437218427,0.9459192326269376,0.9615698927184297,0.9705354893016145,0.9848580472040382,0.9863068222042418,0.9831109244727685,0.9733486220543874,0.945281607248455,0.9059634030582947
0.8278158493736925,0.8936870110567771,0.9209866669195519,0.928635906981371,0.9425458512417062,0.9507027234108325,0.9525037339230111,0.9550697938304499,0.9599448587295824,0.9599167270261619
0.9164285479717537,0.9599903345612351,0.9791215130559452,0.9869554926278827,0.9974651472082818,0.9813510529145519,0.9729298333740479,0.9573673007819778,0.9265956593357956,0.8921663134029814
0.8024505435325147,0.8876524628113105,0.9289568549759115,0.9522481091482018,0.9823631500352871,0.9803452569861746,0.9806696275324975,0.9826142271000947,0.9895164189678252,1.0
0.7989471446732693,0.8519330876755564,0.8776194808390528,0.8921038138938318,0.9233822684482351,0.9452868123585404,0.9538263871216868,0.9666896695030583,0.9756735986763376,0.9806053667227662
0.9195883899246666,0.956735632211663,0.9747437548256428,0.9835725174713534,0.9660341337114708,0.9476916613631279,0.9398006108312232,0.9210122060347897,0.8896361165427464,0.8597450760249936
0.8369382962384684,0.8811308054285074,0.9025544479817859,0.9146350706697299,0.9407228199470851,0.954598121329421,0.9548758254404308,0.9531942567103273,0.9487001839011328,0.9395091822014768
0.764564989437093,0.8610454863610778,0.9078173440034722,0.9341916323860462,0.9911461453845906,0.9686537829864996,0.9523040839984928,0.9215875129877731,0.8597108219418441,0.7894485322362507
0.8035261148168272,0.8475126435647434,0.8688363319461396,0.8808605752506861,0.906826547047549,0.9252148189352832,0.9330683203862467,0.9474359656183335,0.9733198546326817,1.0
0.8452448515855749,0.9257249817039437,0.9647398852063125,0.9759755906624663,0.9880872066946278,0.9889399927125051,0.9858433572295675,0.982028952345076,0.9788236006143253,0.9791538871557728
0.8586206781521973,0.9035759049407381,0.925369407200112,0.9376586085714822,0.9555865477047671,0.9660891876305367,0.970235403937503,0.97663909766479,0.986568695094695,1.0
0.7662882085364903,0.8529326498295994,0.8949363983183523,0.9186220221762706,0.969770503314477,0.9990104521698232,0.9963997540924343,0.9883100628362144,0.9648938069223119,0.9319925293506387
0.8375728706419409,0.9264711370312335,0.9491522751003194,0.9603572467083152,0.9787889695263955,0.986079278825301,0.9825087681717999,0.9674982043708076,0.9345750402653099,0.894809704246075
0.738483773688808,0.8210813071768717,0.8611231793313083,0.8837025139533725,0.9211635471783657,0.9524111802460201,0.9652059132800581,0.972826523641146,0.973748952538602,0.9762896650788482
