Area_WP/LOA^2 @ T/Dd = 0.12,Area_WP/LOA^2 @ T/Dd = 0.25,Area_WP/LOA^2 @ T/Dd = 0.33,Area_WP/LOA^2 @ T/Dd = 0.38,Area_WP/LOA^2 @ T/Dd = 0.5,Area_WP/LOA^2 @ T/Dd = 0.62,Area_WP/LOA^2 @ T/Dd = 0.67,Area_WP/LOA^2 @ T/Dd = 0.75,Area_WP/LOA^2 @ T/Dd = 0.88,Area_WP/LOA^2 @ T/Dd = 1.0
0.015275776860000536,0.039044298272544575,0.09094253077533818,0.1548709194379192,0.20472572885164206,0.21682212028100714,0.21753434874906838,0.21377590873624436,0.19028591847266121,0.15823302230398964
0.0038083249168011347,0.008104166148646851,0.012063361386910715,0.015211183948639906,0.025526092324502214,0.0404162530380253,0.04696239708619551,0.060296246116600984,0.08272644395050768,0.1042605440743729
0.07934980629591788,0.16021774563221378,0.18034240161530016,0.18953365747061252,0.20494729606178297,0.2135977374459155,0.21098572168626586,0.20406870671352073,0.18638493021001656,0.16884241878120032
0.010279785886586179,0.013424878290458788,0.02160068827935477,0.031175177054382112,0.0555104927039942,0.08121340525684449,0.0840928557331477,0.08908423612451567,0.1008377925475191,0.11932726841311789
0.04613037731048209,0.08458076542774333,0.10833726284275931,0.12148078660740363,0.1414853767834466,0.15590701074751168,0.16179925715228727,0.17094790264729678,0.1846142544047726,0.1960414843504335
0.007837030813580517,0.01884439884837076,0.02845460380325962,0.03570195262116981,0.058234137193356815,0.0798713284956499,0.0885453568468752,0.10331265021722257,0.12939180766335875,0.1528583622955606
0.005812217618834119,0.009703599945028315,0.01373021532034663,0.0170514608683409,0.029303657306740852,0.047362939129606936,0.055212826498713084,0.06754649970783343,0.0861897379109571,0.1018073725980524
0.008051727003419136,0.027538139373146517,0.04080431000705042,0.049440952486105284,0.06718232836641738,0.08781509050691998,0.09473220320104123,0.10577635351598641,0.12392220404840647,0.14132707783570556
0.012728691554374238,0.08308463839833191,0.13830021047400842,0.17199571665787325,0.2038003472765786,0.21581973899955387,0.2216754998528826,0.23021636859223463,0.2414573743697165,0.2509099776698935
0.09374561759607997,0.17817881218148607,0.1969450605913586,0.21370058607840733,0.21770366651271325,0.21060753715694994,0.2073419631404533,0.2006398759933878,0.1892256042310865,0.17833038943878093
0.04942371428134752,0.08516103188099328,0.09866661700659364,0.1053418109484475,0.11832231888460741,0.12691719257676315,0.12899119412438714,0.13134293310361125,0.13690829784356004,0.13687758379436438
0.03465280903031445,0.06891848365490072,0.09223867522521516,0.10584857889984384,0.13126761801107345,0.14453104300906483,0.1442984726177679,0.14008130044697395,0.1260625996328688,0.10671020044398409
0.005468165881790756,0.01785836429166989,0.03268981075366158,0.04504218420227401,0.07561399882668432,0.09856981352186113,0.10961894213102476,0.11705461213766705,0.1253336545663432,0.13208669555233837
0.13190225568650635,0.16530814249274198,0.17212394703550438,0.17401105090240138,0.17932792092886324,0.18606861607625244,0.18605212332019705,0.1851083661953124,0.18333804063644984,0.1812817691970325
0.011760297246558653,0.03018255611664919,0.04181272878689479,0.049173482009293945,0.06901687055893253,0.08956331990088774,0.09392569552658908,0.09884210204164137,0.103591186804315,0.10559961495877421
0.021571270094436035,0.038647156555105394,0.04954286454118924,0.05649728973753573,0.0677153513076022,0.08133827523581243,0.08541530150787327,0.09055466408610155,0.09849789795734928,0.1054675723956041
0.0043711663217669075,0.009637388071990329,0.013122356670120397,0.015740722508834536,0.023651720354624553,0.03469686903786185,0.039890979405608096,0.05071716780337558,0.06564533473225506,0.08457342825502556
